Test Name	Source Language	Components	Gold File	Prediction File	Uploaded Gold File	Uploaded Prediction File	Experiment URI	System	Reference	BLEU	BLEU NLTK	METEOR	chrF++	TER	Error Count	Timestamp	GERBIL version
QALD10-MT	de	['spacy_ner', 'mgenre_el', 'mbart_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-spacy_ner-mgenre_el-mbart_mt	a1205346455a40bbbe969013a0b4947bQALD10-MT_de-en_gold_file.txt	f44688a01c9143eb813a748ac97c2ca3QALD10-MT_de-spacy_ner-mgenre_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209190300	pred (uploaded)	gold (uploaded)	33.6	0.34	0.38	0.62	0.48	0	2022-09-19 19:28:21	1.2.7
QALD10-MT	de	['no_ner', 'no_el', 'libre_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-no_ner-no_el-libre_mt	a1205346455a40bbbe969013a0b4947bQALD10-MT_de-en_gold_file.txt	3ba4e1a1a6bb4946b8024f6d01179d1aQALD10-MT_de-no_ner-no_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209190301	pred (uploaded)	gold (uploaded)	22.12	0.22	0.35	0.52	0.59	0	2022-09-19 19:28:31	1.2.7
QALD10-MT	de	['no_ner', 'no_el', 'opus_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-no_ner-no_el-opus_mt	a1205346455a40bbbe969013a0b4947bQALD10-MT_de-en_gold_file.txt	f32c5d722a074f1182f19fa511828b39QALD10-MT_de-no_ner-no_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209190302	pred (uploaded)	gold (uploaded)	35.53	0.35	0.41	0.65	0.43	0	2022-09-19 19:28:41	1.2.7
QALD10-MT	de	['no_ner', 'no_el', 'nllb_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-no_ner-no_el-nllb_mt	a1205346455a40bbbe969013a0b4947bQALD10-MT_de-en_gold_file.txt	b9f23c1dbdac4484ab3788dc063c7f98QALD10-MT_de-no_ner-no_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209190303	pred (uploaded)	gold (uploaded)	35.4	0.35	0.41	0.64	0.44	0	2022-09-19 19:28:51	1.2.7
QALD10-MT	de	['no_ner', 'no_el', 'mbart_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-no_ner-no_el-mbart_mt	a1205346455a40bbbe969013a0b4947bQALD10-MT_de-en_gold_file.txt	c5198c22ccc443019a03a85f86faef8aQALD10-MT_de-no_ner-no_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209190304	pred (uploaded)	gold (uploaded)	34.98	0.35	0.4	0.64	0.45	0	2022-09-19 19:29:01	1.2.7
QALD10-MT	ru	['babelscape_ner', 'mgenre_el', 'libre_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-babelscape_ner-mgenre_el-libre_mt	8941cc11a1e74f12a6c23e3dec21a6eaQALD10-MT_ru-en_gold_file.txt	2643d6286aec4a4fad0e92c90aae63d7QALD10-MT_ru-babelscape_ner-mgenre_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209190305	pred (uploaded)	gold (uploaded)	20.27	0.2	0.31	0.52	0.6	0	2022-09-19 19:29:12	1.2.7
QALD10-MT	ru	['babelscape_ner', 'mgenre_el', 'opus_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-babelscape_ner-mgenre_el-opus_mt	8941cc11a1e74f12a6c23e3dec21a6eaQALD10-MT_ru-en_gold_file.txt	3f7c35f941074d0099a52d8b5c98f5f3QALD10-MT_ru-babelscape_ner-mgenre_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209190306	pred (uploaded)	gold (uploaded)	23.83	0.24	0.35	0.56	0.57	0	2022-09-19 19:29:21	1.2.7
QALD10-MT	ru	['babelscape_ner', 'mgenre_el', 'nllb_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-babelscape_ner-mgenre_el-nllb_mt	8941cc11a1e74f12a6c23e3dec21a6eaQALD10-MT_ru-en_gold_file.txt	0a11a41f3e4e401c9a676b39b246e5e0QALD10-MT_ru-babelscape_ner-mgenre_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209190307	pred (uploaded)	gold (uploaded)	26.45	0.26	0.35	0.57	0.53	0	2022-09-19 19:29:32	1.2.7
QALD10-MT	ru	['babelscape_ner', 'mgenre_el', 'mbart_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-babelscape_ner-mgenre_el-mbart_mt	8941cc11a1e74f12a6c23e3dec21a6eaQALD10-MT_ru-en_gold_file.txt	20f1fd7966af4f0ea90b6560a8b22bffQALD10-MT_ru-babelscape_ner-mgenre_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209190308	pred (uploaded)	gold (uploaded)	24.72	0.25	0.35	0.57	0.57	0	2022-09-19 19:29:42	1.2.7
QALD10-MT	ru	['spacy_ner', 'mgenre_el', 'libre_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-spacy_ner-mgenre_el-libre_mt	8941cc11a1e74f12a6c23e3dec21a6eaQALD10-MT_ru-en_gold_file.txt	e75e48ee968f45f3b30e3ad01bb2f133QALD10-MT_ru-spacy_ner-mgenre_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209190309	pred (uploaded)	gold (uploaded)	20.5	0.2	0.31	0.52	0.6	0	2022-09-19 19:29:52	1.2.7
QALD10-MT	ru	['spacy_ner', 'mgenre_el', 'opus_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-spacy_ner-mgenre_el-opus_mt	8941cc11a1e74f12a6c23e3dec21a6eaQALD10-MT_ru-en_gold_file.txt	5ea2dcae004542528ba9676267a74ef6QALD10-MT_ru-spacy_ner-mgenre_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209190310	pred (uploaded)	gold (uploaded)	24.4	0.24	0.35	0.57	0.55	0	2022-09-19 19:30:02	1.2.7
QALD10-MT	ru	['spacy_ner', 'mgenre_el', 'nllb_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-spacy_ner-mgenre_el-nllb_mt	8941cc11a1e74f12a6c23e3dec21a6eaQALD10-MT_ru-en_gold_file.txt	d03091889db44e9bbd5260ff704b1871QALD10-MT_ru-spacy_ner-mgenre_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209190311	pred (uploaded)	gold (uploaded)	27.15	0.27	0.36	0.58	0.52	0	2022-09-19 19:30:12	1.2.7
QALD10-MT	ru	['spacy_ner', 'mgenre_el', 'mbart_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-spacy_ner-mgenre_el-mbart_mt	8941cc11a1e74f12a6c23e3dec21a6eaQALD10-MT_ru-en_gold_file.txt	566c3cc03c2b4d1fb340393437a5efa4QALD10-MT_ru-spacy_ner-mgenre_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209190312	pred (uploaded)	gold (uploaded)	25.23	0.25	0.35	0.57	0.56	0	2022-09-19 19:30:23	1.2.7
QALD10-MT	ru	['no_ner', 'no_el', 'libre_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-no_ner-no_el-libre_mt	8941cc11a1e74f12a6c23e3dec21a6eaQALD10-MT_ru-en_gold_file.txt	aaf335c02f1c4242b468caa2cf5e3c50QALD10-MT_ru-no_ner-no_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209190313	pred (uploaded)	gold (uploaded)	20.91	0.21	0.3	0.51	0.6	0	2022-09-19 19:30:33	1.2.7
QALD10-MT	ru	['no_ner', 'no_el', 'opus_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-no_ner-no_el-opus_mt	8941cc11a1e74f12a6c23e3dec21a6eaQALD10-MT_ru-en_gold_file.txt	5525c3d52c43449799b7dcf0ea30d7bcQALD10-MT_ru-no_ner-no_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209190314	pred (uploaded)	gold (uploaded)	26.14	0.26	0.35	0.57	0.53	0	2022-09-19 19:30:43	1.2.7
QALD10-MT	ru	['no_ner', 'no_el', 'nllb_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-no_ner-no_el-nllb_mt	8941cc11a1e74f12a6c23e3dec21a6eaQALD10-MT_ru-en_gold_file.txt	ee7e7837769f4b2d99811d0fe1be1523QALD10-MT_ru-no_ner-no_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209190315	pred (uploaded)	gold (uploaded)	33.53	0.34	0.39	0.61	0.46	0	2022-09-19 19:30:53	1.2.7
