Test Name	Language	Components	Gold File	Prediction File	Uploaded Gold File	Uploaded Prediction File	Experiment URI	BertScore F1	BLEURT Score	BLEU	BLEU NLTK	METEOR	chrF++	TER	Error Count	Timestamp	GERBIL version
QALD10-MT	de	['babelscape_ner', 'mag_el', 'libre_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-babelscape_ner-mag_el-libre_mt	3452452335b1416b9ecd56d6c951e47cQALD10-MT_de-en_gold_file.txt	69ad019f77674248aaec4cae18ddb8aaQALD10-MT_de-babelscape_ner-mag_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140000	0.9346257846	-0.08398937621	29.89	0.3	0.37	0.6	0.51	0	2022-10-14 00:23:02	1.2.7
QALD10-MT	de	['babelscape_ner', 'mag_el', 'opus_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-babelscape_ner-mag_el-opus_mt	3452452335b1416b9ecd56d6c951e47cQALD10-MT_de-en_gold_file.txt	ec8a5ac8b45b45cbbe75f77e2ac9c5b8QALD10-MT_de-babelscape_ner-mag_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140001	0.9411773791	0.03171673205	34.04	0.34	0.39	0.63	0.48	0	2022-10-14 00:23:12	1.2.7
QALD10-MT	de	['babelscape_ner', 'mag_el', 'nllb_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-babelscape_ner-mag_el-nllb_mt	3452452335b1416b9ecd56d6c951e47cQALD10-MT_de-en_gold_file.txt	6c994c1b267648e7a0c2482778cd1b2dQALD10-MT_de-babelscape_ner-mag_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140002	0.9425467753	0.06344246115	33.48	0.33	0.38	0.62	0.49	0	2022-10-14 00:23:22	1.2.7
QALD10-MT	de	['babelscape_ner', 'mag_el', 'mbart_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-babelscape_ner-mag_el-mbart_mt	3452452335b1416b9ecd56d6c951e47cQALD10-MT_de-en_gold_file.txt	962548f190e048e4970d23e9d7593173QALD10-MT_de-babelscape_ner-mag_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140003	0.940599342	0.02790995792	33.61	0.33	0.39	0.63	0.49	0	2022-10-14 00:23:32	1.2.7
QALD10-MT	de	['babelscape_ner', 'mgenre_el', 'libre_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-babelscape_ner-mgenre_el-libre_mt	3452452335b1416b9ecd56d6c951e47cQALD10-MT_de-en_gold_file.txt	49906de40edd4f26b652d33bc5eee718QALD10-MT_de-babelscape_ner-mgenre_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140004	0.9378238332	-0.02156443665	30.55	0.3	0.38	0.61	0.49	0	2022-10-14 00:23:42	1.2.7
QALD10-MT	de	['babelscape_ner', 'mgenre_el', 'opus_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-babelscape_ner-mgenre_el-opus_mt	3452452335b1416b9ecd56d6c951e47cQALD10-MT_de-en_gold_file.txt	37882d0198874efaa53166c15b6ac00dQALD10-MT_de-babelscape_ner-mgenre_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140005	0.9441657151	0.1046409254	35.13	0.35	0.39	0.63	0.46	0	2022-10-14 00:23:52	1.2.7
QALD10-MT	de	['babelscape_ner', 'mgenre_el', 'nllb_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-babelscape_ner-mgenre_el-nllb_mt	3452452335b1416b9ecd56d6c951e47cQALD10-MT_de-en_gold_file.txt	47e0b6a2a78341bfa48727375daf9eabQALD10-MT_de-babelscape_ner-mgenre_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140006	0.9449607747	0.1259031523	34.42	0.34	0.39	0.62	0.47	0	2022-10-14 00:24:03	1.2.7
QALD10-MT	de	['babelscape_ner', 'mgenre_el', 'mbart_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-babelscape_ner-mgenre_el-mbart_mt	3452452335b1416b9ecd56d6c951e47cQALD10-MT_de-en_gold_file.txt	fad8d587710346929ba3a39037fc7c60QALD10-MT_de-babelscape_ner-mgenre_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140007	0.9439619128	0.09450311989	34.7	0.34	0.39	0.64	0.47	0	2022-10-14 00:24:13	1.2.7
QALD10-MT	de	['flair_ner', 'mag_el', 'libre_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-flair_ner-mag_el-libre_mt	3452452335b1416b9ecd56d6c951e47cQALD10-MT_de-en_gold_file.txt	54b6221cb3314268978560c05c450adbQALD10-MT_de-flair_ner-mag_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140008	0.936590021	-0.06524905079	30.34	0.3	0.37	0.6	0.5	0	2022-10-14 00:24:23	1.2.7
QALD10-MT	de	['flair_ner', 'mag_el', 'opus_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-flair_ner-mag_el-opus_mt	3452452335b1416b9ecd56d6c951e47cQALD10-MT_de-en_gold_file.txt	39ed962a26b547deb4ccd6828f6bfc8eQALD10-MT_de-flair_ner-mag_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140009	0.9432270016	0.06679010678	34.28	0.34	0.39	0.63	0.47	0	2022-10-14 00:24:33	1.2.7
