Dataset	Language	System	ExperimentURI	MicroF1	MacroF1	MicroPrecision	MacroPrecision	MicroRecall	MacroRecall	QALD-F1	Timestamp
qald_9_plus_test_dbpedia	English	NIFWS_Qanary_5(http://porque.cs.upb.de:40123/qanary_5/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209280000	0.0017213555675094137	0.2345841258544878	0.0014668133480014668	0.23407396275476836	0.002082790939859412	0.24449999999999997	0.3869778516619017	2022-09-28 10:29:58
qald_9_plus_train_dbpedia	English	NIFWS_Qanary_5(http://porque.cs.upb.de:40123/qanary_5/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209280001	0.012073368934293009	0.20337907032848102	0.011968085106382979	0.2033904052295706	0.012180521576180313	0.22285367539735979	0.3579719898570065	2022-09-28 10:30:00
QALD9PlusTrain-MT_fr-no_ner-no_el-libre_mt	English	NIFWS_QAnswer(http://porque.cs.upb.de:40123/qanswer/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209280003	0.04248282879674383	0.22082796608612362	0.04007871748104061	0.21467398390828496	0.045193764884174065	0.29671171673249874	0.3226968003366988	2022-09-28 21:57:20
QALD9PlusTrain-MT_fr-no_ner-no_el-libre_mt	English	NIFWS_QAnswer(http://porque.cs.upb.de:40123/qanswer/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209280004	0.04373078237102836	0.21599222655650654	0.042503192848020434	0.210243481977783	0.04503139207620697	0.2870592070799891	0.32710219294701603	2022-09-28 22:15:51
QALD9PlusTrain-MT_fr-no_ner-no_el-libre_mt	English	NIFWS_QAnswer(http://porque.cs.upb.de:40123/qanswer/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290000	0.04263959390862944	0.22298645714091056	0.041075279602788506	0.21868879440263508	0.044327776575016235	0.29760091762169966	0.3132597349914131	2022-09-29 00:12:46
QALD9PlusTrain-MT_fr-no_ner-no_el-libre_mt	English	NIFWS_Qanary_1(http://porque.cs.upb.de:40123/qanary_1/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290001	0.007909369331866433	0.16773866407125235	0.008775981524249422	0.16636865864841635	0.007198527819874432	0.19161749350428595	0.3157223866531902	2022-09-29 00:46:51
QALD9PlusTrain-MT_fr-no_ner-no_el-libre_mt	English	NIFWS_Qanary_2(http://porque.cs.upb.de:40123/qanary_2/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290002	2.4317094917727163E-4	0.142866407413498	4.84027105517909E-4	0.14286179186841438	1.6237280796709244E-4	0.14414414414414412	0.2513453193639455	2022-09-29 01:27:58
QALD9PlusTrain-MT_fr-no_ner-no_el-libre_mt	English	NIFWS_Qanary_3(http://porque.cs.upb.de:40123/qanary_3/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290003	0.010461965084767126	0.17195902103728844	0.012520742193392668	0.1692645791734282	0.00898462870751245	0.1991556438995792	0.3258204332850681	2022-09-29 02:33:08
QALD9PlusTrain-MT_fr-no_ner-no_el-libre_mt	English	NIFWS_Qanary_4(http://porque.cs.upb.de:40123/qanary_4/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290004	0.011349306431273644	0.17851575684244836	0.03379828326180258	0.17772297909136156	0.006819657934617883	0.19033049221728465	0.31668806583152864	2022-09-29 02:57:13
QALD9PlusTrain-MT_fr-no_ner-no_el-libre_mt	English	NIFWS_Qanary_5(http://porque.cs.upb.de:40123/qanary_5/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290005	0.007496297191911254	0.14645211798291213	0.008489080577805163	0.14496071782380285	0.006711409395973154	0.1697384716252641	0.2855030106157388	2022-09-29 03:25:20
