Dataset	Language	System	ExperimentURI	MicroF1	MacroF1	MicroPrecision	MacroPrecision	MicroRecall	MacroRecall	QALD-F1	Timestamp
QALD9PlusTrain-MT_de-flair_ner-mgenre_el-nllb_mt	English	NIFWS_QAnswer(http://porque.cs.upb.de:40123/qanswer/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202210120003	0.11196762381961842	0.27294024234906483	0.10419655667144907	0.27498841210939845	0.12099125364431487	0.3329847751919219	0.3894899953682604	2022-10-12 17:31:06
QALD9PlusTrain-MT_de-flair_ner-mgenre_el-nllb_mt	English	NIFWS_Qanary_1(http://porque.cs.upb.de:40123/qanary_1/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202210120004	0.010106048448309514	0.18785745243068683	0.008661388052488755	0.18807614519366195	0.012129099427381572	0.23582474720182406	0.3713915497354972	2022-10-12 17:31:06
QALD9PlusTrain-MT_de-flair_ner-mgenre_el-nllb_mt	English	NIFWS_Qanary_3(http://porque.cs.upb.de:40123/qanary_3/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202210120005	0.009705966314587497	0.18406662521192133	0.007649388048956083	0.18384923857363336	0.013275027330938622	0.2360957401198758	0.37134338062540606	2022-10-12 17:31:06
QALD9PlusTrain-MT_de-davlan_ner-mgenre_el-libre_mt	English	NIFWS_QAnswer(http://porque.cs.upb.de:40123/qanswer/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202210120006	0.062003600550672465	0.2571428890323319	0.06308587436698632	0.2582565155998254	0.060957834461218115	0.30484406007614945	0.352412202957146	2022-10-12 17:31:06
QALD9PlusTrain-MT_de-davlan_ner-mgenre_el-libre_mt	English	NIFWS_Qanary_1(http://porque.cs.upb.de:40123/qanary_1/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202210120007	0.00983738630822397	0.18263020162869373	0.008298161528006295	0.18288183451295564	0.012077671924618668	0.2209697845861333	0.35255888329730556	2022-10-12 17:31:06
QALD9PlusTrain-MT_de-davlan_ner-mgenre_el-libre_mt	English	NIFWS_Qanary_3(http://porque.cs.upb.de:40123/qanary_3/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202210120008	0.009948022443289387	0.1720713139806021	0.0074308341047001954	0.17170148014709172	0.01504424778761062	0.2266428658786876	0.3583522379444379	2022-10-12 17:31:06
QALD9PlusTrain-MT_de-babelscape_ner-mag_el-mbart_mt	English	NIFWS_QAnswer(http://porque.cs.upb.de:40123/qanswer/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202210120009	0.1230096323963043	0.27392800584022353	0.11649446150982035	0.2801215055257156	0.13029672045809473	0.31380346104773876	0.3712920275061487	2022-10-12 17:31:07
QALD9PlusTrain-MT_de-babelscape_ner-mag_el-mbart_mt	English	NIFWS_Qanary_1(http://porque.cs.upb.de:40123/qanary_1/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202210120010	0.0058037551161833805	0.1739282630882968	0.004968851972708395	0.176185314515408	0.006975896715081472	0.22685866297549262	0.35916041362351075	2022-10-12 17:31:07
QALD9PlusTrain-MT_de-babelscape_ner-mag_el-mbart_mt	English	NIFWS_Qanary_3(http://porque.cs.upb.de:40123/qanary_3/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202210120011	0.0053928706250337055	0.17741672021592714	0.004118729234740108	0.17928227035066702	0.007808433107756377	0.2388686676325561	0.3724636934450826	2022-10-12 17:31:07
QALD9PlusTrain-MT_fr-babelscape_ner-mag_el-libre_mt	English	NIFWS_QAnswer(http://porque.cs.upb.de:40123/qanswer/gerbil)	http://gerbil-qa.aksw.org/gerbil/experiment?id=202210120012	0.049937216265816674	0.2293613233622654	0.04508000174390722	0.22940634229841245	0.05596752368064953	0.28953254113771587	0.3167277654389936	2022-10-12 17:31:08
