Test Name	Language	Components	Gold File	Prediction File	Uploaded Gold File	Uploaded Prediction File	Experiment URI	System	Reference	BLEU	BLEU NLTK	METEOR	chrF++	TER	Error Count	Timestamp	GERBIL version
QALD10-MT	de	['spacy_ner', 'mgenre_el', 'nllb_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-spacy_ner-mgenre_el-nllb_mt	f138409e41f64bb0b320e89610d8d6b2QALD10-MT_de-en_gold_file.txt	889f9441ae3f47638fdb0d0011999109QALD10-MT_de-spacy_ner-mgenre_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280033	pred (uploaded)	gold (uploaded)	32.51	0.32	0.39	0.61	0.47	0	2022-09-28 14:30:55	1.2.7
QALD10-MT	de	['spacy_ner', 'mgenre_el', 'mbart_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-spacy_ner-mgenre_el-mbart_mt	f138409e41f64bb0b320e89610d8d6b2QALD10-MT_de-en_gold_file.txt	b1520a3441e24cd8b980371b5be047b9QALD10-MT_de-spacy_ner-mgenre_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280034	pred (uploaded)	gold (uploaded)	33.33	0.33	0.39	0.62	0.48	0	2022-09-28 14:31:05	1.2.7
QALD10-MT	de	['no_ner', 'no_el', 'libre_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-no_ner-no_el-libre_mt	f138409e41f64bb0b320e89610d8d6b2QALD10-MT_de-en_gold_file.txt	eae3c91bd31545f7838e3f1c5e21e441QALD10-MT_de-no_ner-no_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280035	pred (uploaded)	gold (uploaded)	22.12	0.22	0.35	0.52	0.59	0	2022-09-28 14:31:15	1.2.7
QALD10-MT	de	['no_ner', 'no_el', 'opus_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-no_ner-no_el-opus_mt	f138409e41f64bb0b320e89610d8d6b2QALD10-MT_de-en_gold_file.txt	dbdc04948a7d4d04bcaadbdf49ec9fc4QALD10-MT_de-no_ner-no_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280036	pred (uploaded)	gold (uploaded)	35.53	0.35	0.41	0.65	0.43	0	2022-09-28 14:31:25	1.2.7
QALD10-MT	de	['no_ner', 'no_el', 'nllb_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-no_ner-no_el-nllb_mt	f138409e41f64bb0b320e89610d8d6b2QALD10-MT_de-en_gold_file.txt	6ad54545dff645059b0226077d9a32cfQALD10-MT_de-no_ner-no_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280037	pred (uploaded)	gold (uploaded)	35.4	0.35	0.41	0.64	0.44	0	2022-09-28 14:31:36	1.2.7
QALD10-MT	de	['no_ner', 'no_el', 'mbart_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-no_ner-no_el-mbart_mt	f138409e41f64bb0b320e89610d8d6b2QALD10-MT_de-en_gold_file.txt	608fd8751be8413ab851f9d50c8f9311QALD10-MT_de-no_ner-no_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280038	pred (uploaded)	gold (uploaded)	34.98	0.35	0.4	0.64	0.45	0	2022-09-28 14:31:46	1.2.7
QALD10-MT	ru	['babelscape_ner', 'mgenre_el', 'libre_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-babelscape_ner-mgenre_el-libre_mt	a8d8a8fcd30042e7b33c46ecff835bb6QALD10-MT_ru-en_gold_file.txt	04ac910e9f7b4a18af1bc413a5b72db2QALD10-MT_ru-babelscape_ner-mgenre_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280039	pred (uploaded)	gold (uploaded)	17.27	0.17	0.27	0.46	0.68	0	2022-09-28 14:31:56	1.2.7
QALD10-MT	ru	['babelscape_ner', 'mgenre_el', 'opus_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-babelscape_ner-mgenre_el-opus_mt	a8d8a8fcd30042e7b33c46ecff835bb6QALD10-MT_ru-en_gold_file.txt	ca85d4f706b243809868054a51066911QALD10-MT_ru-babelscape_ner-mgenre_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280040	pred (uploaded)	gold (uploaded)	25.19	0.25	0.35	0.56	0.55	0	2022-09-28 14:32:06	1.2.7
QALD10-MT	ru	['babelscape_ner', 'mgenre_el', 'nllb_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-babelscape_ner-mgenre_el-nllb_mt	a8d8a8fcd30042e7b33c46ecff835bb6QALD10-MT_ru-en_gold_file.txt	2cda0b9d680d427d8c40c6946b2aec34QALD10-MT_ru-babelscape_ner-mgenre_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280041	pred (uploaded)	gold (uploaded)	32.57	0.33	0.39	0.61	0.47	0	2022-09-28 14:32:16	1.2.7
QALD10-MT	ru	['babelscape_ner', 'mgenre_el', 'mbart_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-babelscape_ner-mgenre_el-mbart_mt	a8d8a8fcd30042e7b33c46ecff835bb6QALD10-MT_ru-en_gold_file.txt	cc7bcc8352824209a804d8fdda04ca9aQALD10-MT_ru-babelscape_ner-mgenre_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280042	pred (uploaded)	gold (uploaded)	27.41	0.27	0.36	0.58	0.53	0	2022-09-28 14:32:26	1.2.7
QALD10-MT	ru	['spacy_ner', 'mgenre_el', 'libre_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-spacy_ner-mgenre_el-libre_mt	a8d8a8fcd30042e7b33c46ecff835bb6QALD10-MT_ru-en_gold_file.txt	d7290ac5074b4aeb9c609f6a651f0c3bQALD10-MT_ru-spacy_ner-mgenre_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280043	pred (uploaded)	gold (uploaded)	18.39	0.18	0.28	0.47	0.67	0	2022-09-28 14:32:36	1.2.7
QALD10-MT	ru	['spacy_ner', 'mgenre_el', 'opus_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-spacy_ner-mgenre_el-opus_mt	a8d8a8fcd30042e7b33c46ecff835bb6QALD10-MT_ru-en_gold_file.txt	826205f6b03f45b3b78b895fbaec7609QALD10-MT_ru-spacy_ner-mgenre_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280044	pred (uploaded)	gold (uploaded)	25.24	0.25	0.35	0.57	0.54	0	2022-09-28 14:32:46	1.2.7
QALD10-MT	ru	['spacy_ner', 'mgenre_el', 'nllb_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-spacy_ner-mgenre_el-nllb_mt	a8d8a8fcd30042e7b33c46ecff835bb6QALD10-MT_ru-en_gold_file.txt	f07f6bcd20bd451eadbf20682086bae2QALD10-MT_ru-spacy_ner-mgenre_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280045	pred (uploaded)	gold (uploaded)	32.67	0.33	0.39	0.61	0.46	0	2022-09-28 14:32:56	1.2.7
QALD10-MT	ru	['spacy_ner', 'mgenre_el', 'mbart_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-spacy_ner-mgenre_el-mbart_mt	a8d8a8fcd30042e7b33c46ecff835bb6QALD10-MT_ru-en_gold_file.txt	6ec92c3c1e194ca0921bce0ea1afab1fQALD10-MT_ru-spacy_ner-mgenre_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280046	pred (uploaded)	gold (uploaded)	27.89	0.28	0.36	0.59	0.53	0	2022-09-28 14:33:06	1.2.7
QALD10-MT	ru	['no_ner', 'no_el', 'libre_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-no_ner-no_el-libre_mt	a8d8a8fcd30042e7b33c46ecff835bb6QALD10-MT_ru-en_gold_file.txt	ee4ef5ef1a2642229ebd607615dc2af8QALD10-MT_ru-no_ner-no_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280047	pred (uploaded)	gold (uploaded)	20.91	0.21	0.3	0.51	0.6	0	2022-09-28 14:33:17	1.2.7
QALD10-MT	ru	['no_ner', 'no_el', 'opus_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-no_ner-no_el-opus_mt	a8d8a8fcd30042e7b33c46ecff835bb6QALD10-MT_ru-en_gold_file.txt	efafc4f15c5b46eeafa8b84f48707212QALD10-MT_ru-no_ner-no_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280048	pred (uploaded)	gold (uploaded)	26.14	0.26	0.35	0.57	0.53	0	2022-09-28 14:33:27	1.2.7
QALD10-MT	ru	['no_ner', 'no_el', 'nllb_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-no_ner-no_el-nllb_mt	a8d8a8fcd30042e7b33c46ecff835bb6QALD10-MT_ru-en_gold_file.txt	b8caf0d899a4456992e1f5cc5be638f2QALD10-MT_ru-no_ner-no_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280049	pred (uploaded)	gold (uploaded)	33.53	0.34	0.39	0.61	0.46	0	2022-09-28 14:33:37	1.2.7
QALD10-MT	ru	['no_ner', 'no_el', 'mbart_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-no_ner-no_el-mbart_mt	a8d8a8fcd30042e7b33c46ecff835bb6QALD10-MT_ru-en_gold_file.txt	bd107132f3ca4e26b1bb030644936a97QALD10-MT_ru-no_ner-no_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280050	pred (uploaded)	gold (uploaded)	27.51	0.27	0.36	0.58	0.53	0	2022-09-28 14:33:47	1.2.7
QALD9Plus-MT	de	['babelscape_ner', 'mag_el', 'libre_mt']	QALD9Plus-MT_de-en_gold_file	pred_results/QALD9Plus-MT_de-babelscape_ner-mag_el-libre_mt	b8477f63c7b2440da1271e5370d200f9QALD9Plus-MT_de-en_gold_file.txt	a0d97b7961de498c99538e5538551a70QALD9Plus-MT_de-babelscape_ner-mag_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280051	pred (uploaded)	gold (uploaded)	27.53	0.27	0.36	0.56	0.59	0	2022-09-28 14:33:57	1.2.7
QALD9Plus-MT	de	['babelscape_ner', 'mag_el', 'opus_mt']	QALD9Plus-MT_de-en_gold_file	pred_results/QALD9Plus-MT_de-babelscape_ner-mag_el-opus_mt	b8477f63c7b2440da1271e5370d200f9QALD9Plus-MT_de-en_gold_file.txt	8b735d5f62754d6d95f0d720d7e8e112QALD9Plus-MT_de-babelscape_ner-mag_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280052	pred (uploaded)	gold (uploaded)	43.34	0.44	0.4	0.69	0.42	0	2022-09-28 14:34:07	1.2.7
QALD9Plus-MT	de	['babelscape_ner', 'mag_el', 'nllb_mt']	QALD9Plus-MT_de-en_gold_file	pred_results/QALD9Plus-MT_de-babelscape_ner-mag_el-nllb_mt	b8477f63c7b2440da1271e5370d200f9QALD9Plus-MT_de-en_gold_file.txt	a97a22e785b04c7c886eede7ad073c2fQALD9Plus-MT_de-babelscape_ner-mag_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280053	pred (uploaded)	gold (uploaded)	46.43	0.47	0.42	0.7	0.39	0	2022-09-28 14:34:17	1.2.7
