Test Name	Language	Components	Gold File	Prediction File	Uploaded Gold File	Uploaded Prediction File	Experiment URI	System	Reference	BLEU	BLEU NLTK	METEOR	chrF++	TER	Error Count	Timestamp	GERBIL version
QALD10-MT	de	['babelscape_ner', 'mag_el', 'libre_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-babelscape_ner-mag_el-libre_mt	f138409e41f64bb0b320e89610d8d6b2QALD10-MT_de-en_gold_file.txt	8f93b563bd20486aa2a5a2a5109a6fa6QALD10-MT_de-babelscape_ner-mag_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280003	pred (uploaded)	gold (uploaded)	21.76	0.21	0.35	0.52	0.61	0	2022-09-28 14:25:52	1.2.7
QALD10-MT	de	['babelscape_ner', 'mag_el', 'opus_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-babelscape_ner-mag_el-opus_mt	f138409e41f64bb0b320e89610d8d6b2QALD10-MT_de-en_gold_file.txt	e37aae72985b4909a5a2e8916ae0269cQALD10-MT_de-babelscape_ner-mag_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280004	pred (uploaded)	gold (uploaded)	33.75	0.34	0.39	0.63	0.47	0	2022-09-28 14:26:02	1.2.7
QALD10-MT	de	['babelscape_ner', 'mag_el', 'nllb_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-babelscape_ner-mag_el-nllb_mt	f138409e41f64bb0b320e89610d8d6b2QALD10-MT_de-en_gold_file.txt	6d731e8c04d147a4a31c1fbccb631468QALD10-MT_de-babelscape_ner-mag_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280005	pred (uploaded)	gold (uploaded)	33.78	0.34	0.4	0.62	0.47	0	2022-09-28 14:26:12	1.2.7
QALD10-MT	de	['babelscape_ner', 'mag_el', 'mbart_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-babelscape_ner-mag_el-mbart_mt	f138409e41f64bb0b320e89610d8d6b2QALD10-MT_de-en_gold_file.txt	cef94a54dc8045dea41c3023edde1b12QALD10-MT_de-babelscape_ner-mag_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280006	pred (uploaded)	gold (uploaded)	33.5	0.33	0.39	0.62	0.49	0	2022-09-28 14:26:22	1.2.7
QALD10-MT	de	['babelscape_ner', 'mgenre_el', 'libre_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-babelscape_ner-mgenre_el-libre_mt	f138409e41f64bb0b320e89610d8d6b2QALD10-MT_de-en_gold_file.txt	873c1471d94e4449a1c92855505f2f22QALD10-MT_de-babelscape_ner-mgenre_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280007	pred (uploaded)	gold (uploaded)	21.71	0.21	0.35	0.52	0.61	0	2022-09-28 14:26:32	1.2.7
QALD10-MT	de	['babelscape_ner', 'mgenre_el', 'opus_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-babelscape_ner-mgenre_el-opus_mt	f138409e41f64bb0b320e89610d8d6b2QALD10-MT_de-en_gold_file.txt	23766e5f28a04c03bcc1eee27556abc0QALD10-MT_de-babelscape_ner-mgenre_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280008	pred (uploaded)	gold (uploaded)	35.07	0.35	0.4	0.64	0.45	0	2022-09-28 14:26:43	1.2.7
QALD10-MT	de	['babelscape_ner', 'mgenre_el', 'nllb_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-babelscape_ner-mgenre_el-nllb_mt	f138409e41f64bb0b320e89610d8d6b2QALD10-MT_de-en_gold_file.txt	d60fd10e03bd47cc9f365dff254ebbd0QALD10-MT_de-babelscape_ner-mgenre_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280009	pred (uploaded)	gold (uploaded)	34.6	0.34	0.4	0.63	0.45	0	2022-09-28 14:26:53	1.2.7
QALD10-MT	de	['babelscape_ner', 'mgenre_el', 'mbart_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-babelscape_ner-mgenre_el-mbart_mt	f138409e41f64bb0b320e89610d8d6b2QALD10-MT_de-en_gold_file.txt	de31a12d331242abbfef5a3b8a7aa7b9QALD10-MT_de-babelscape_ner-mgenre_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280010	pred (uploaded)	gold (uploaded)	34.65	0.34	0.39	0.63	0.47	0	2022-09-28 14:27:03	1.2.7
QALD10-MT	de	['flair_ner', 'mag_el', 'libre_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-flair_ner-mag_el-libre_mt	f138409e41f64bb0b320e89610d8d6b2QALD10-MT_de-en_gold_file.txt	ee0dc9cdf7e44987989bea523ff3154bQALD10-MT_de-flair_ner-mag_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280011	pred (uploaded)	gold (uploaded)	22	0.22	0.35	0.52	0.61	0	2022-09-28 14:27:13	1.2.7
QALD10-MT	de	['flair_ner', 'mag_el', 'opus_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-flair_ner-mag_el-opus_mt	f138409e41f64bb0b320e89610d8d6b2QALD10-MT_de-en_gold_file.txt	b3ff1a38d28f4cdc82c61964388022cfQALD10-MT_de-flair_ner-mag_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280012	pred (uploaded)	gold (uploaded)	33.86	0.34	0.39	0.63	0.46	0	2022-09-28 14:27:23	1.2.7
QALD10-MT	de	['flair_ner', 'mag_el', 'nllb_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-flair_ner-mag_el-nllb_mt	f138409e41f64bb0b320e89610d8d6b2QALD10-MT_de-en_gold_file.txt	bfd5e73c68ee404cad1f313f1efb4305QALD10-MT_de-flair_ner-mag_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280013	pred (uploaded)	gold (uploaded)	34.16	0.34	0.4	0.63	0.46	0	2022-09-28 14:27:33	1.2.7
QALD10-MT	de	['flair_ner', 'mag_el', 'mbart_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-flair_ner-mag_el-mbart_mt	f138409e41f64bb0b320e89610d8d6b2QALD10-MT_de-en_gold_file.txt	27e6d4bccdf9407ca1befeec03f2d41dQALD10-MT_de-flair_ner-mag_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280014	pred (uploaded)	gold (uploaded)	33.45	0.33	0.39	0.63	0.48	0	2022-09-28 14:27:43	1.2.7
QALD10-MT	de	['flair_ner', 'mgenre_el', 'libre_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-flair_ner-mgenre_el-libre_mt	f138409e41f64bb0b320e89610d8d6b2QALD10-MT_de-en_gold_file.txt	755f57119b544b929f6e1723282fcd4eQALD10-MT_de-flair_ner-mgenre_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280015	pred (uploaded)	gold (uploaded)	21.89	0.22	0.35	0.52	0.61	0	2022-09-28 14:27:53	1.2.7
QALD10-MT	de	['flair_ner', 'mgenre_el', 'opus_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-flair_ner-mgenre_el-opus_mt	f138409e41f64bb0b320e89610d8d6b2QALD10-MT_de-en_gold_file.txt	0e907d6e62b14e46afdb47e3ee4c78c3QALD10-MT_de-flair_ner-mgenre_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280016	pred (uploaded)	gold (uploaded)	34.71	0.35	0.4	0.63	0.45	0	2022-09-28 14:28:04	1.2.7
QALD10-MT	de	['flair_ner', 'mgenre_el', 'nllb_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-flair_ner-mgenre_el-nllb_mt	f138409e41f64bb0b320e89610d8d6b2QALD10-MT_de-en_gold_file.txt	089bbac5112d4faa8b4b52428e102c5aQALD10-MT_de-flair_ner-mgenre_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280017	pred (uploaded)	gold (uploaded)	33.96	0.34	0.4	0.63	0.45	0	2022-09-28 14:28:14	1.2.7
QALD10-MT	de	['flair_ner', 'mgenre_el', 'mbart_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-flair_ner-mgenre_el-mbart_mt	f138409e41f64bb0b320e89610d8d6b2QALD10-MT_de-en_gold_file.txt	3437123713ec443bb7e15c5d47f02f26QALD10-MT_de-flair_ner-mgenre_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280018	pred (uploaded)	gold (uploaded)	33.86	0.34	0.39	0.63	0.47	0	2022-09-28 14:28:24	1.2.7
QALD10-MT	de	['davlan_ner', 'mag_el', 'libre_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-davlan_ner-mag_el-libre_mt	f138409e41f64bb0b320e89610d8d6b2QALD10-MT_de-en_gold_file.txt	37068034ce7f4316bce9b71b62233893QALD10-MT_de-davlan_ner-mag_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280019	pred (uploaded)	gold (uploaded)	22.13	0.22	0.35	0.52	0.6	0	2022-09-28 14:28:34	1.2.7
QALD10-MT	de	['davlan_ner', 'mag_el', 'opus_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-davlan_ner-mag_el-opus_mt	f138409e41f64bb0b320e89610d8d6b2QALD10-MT_de-en_gold_file.txt	1fcb88c822244c6d9d80f4d4f6c76accQALD10-MT_de-davlan_ner-mag_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280020	pred (uploaded)	gold (uploaded)	34.21	0.34	0.4	0.63	0.46	0	2022-09-28 14:28:44	1.2.7
QALD10-MT	de	['davlan_ner', 'mag_el', 'nllb_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-davlan_ner-mag_el-nllb_mt	f138409e41f64bb0b320e89610d8d6b2QALD10-MT_de-en_gold_file.txt	3557df2623514349aa029da2a94d151fQALD10-MT_de-davlan_ner-mag_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280021	pred (uploaded)	gold (uploaded)	34.3	0.34	0.4	0.63	0.46	0	2022-09-28 14:28:54	1.2.7
QALD10-MT	de	['davlan_ner', 'mag_el', 'mbart_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-davlan_ner-mag_el-mbart_mt	f138409e41f64bb0b320e89610d8d6b2QALD10-MT_de-en_gold_file.txt	d17701ce458e4ef8a7403f3229f5a8c9QALD10-MT_de-davlan_ner-mag_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280022	pred (uploaded)	gold (uploaded)	34	0.34	0.39	0.63	0.47	0	2022-09-28 14:29:04	1.2.7
QALD10-MT	de	['davlan_ner', 'mgenre_el', 'libre_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-davlan_ner-mgenre_el-libre_mt	f138409e41f64bb0b320e89610d8d6b2QALD10-MT_de-en_gold_file.txt	9c01ff39762a4079aa231448f0bc5543QALD10-MT_de-davlan_ner-mgenre_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280023	pred (uploaded)	gold (uploaded)	22.26	0.22	0.35	0.52	0.6	0	2022-09-28 14:29:14	1.2.7
QALD10-MT	de	['davlan_ner', 'mgenre_el', 'opus_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-davlan_ner-mgenre_el-opus_mt	f138409e41f64bb0b320e89610d8d6b2QALD10-MT_de-en_gold_file.txt	bd21d5edc8814edb95c9294baa370027QALD10-MT_de-davlan_ner-mgenre_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280024	pred (uploaded)	gold (uploaded)	34.86	0.35	0.4	0.63	0.45	0	2022-09-28 14:29:24	1.2.7
QALD10-MT	de	['davlan_ner', 'mgenre_el', 'nllb_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-davlan_ner-mgenre_el-nllb_mt	f138409e41f64bb0b320e89610d8d6b2QALD10-MT_de-en_gold_file.txt	1e585333dc784d9a859c6be81b76fb5aQALD10-MT_de-davlan_ner-mgenre_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280025	pred (uploaded)	gold (uploaded)	34.3	0.34	0.4	0.63	0.45	0	2022-09-28 14:29:34	1.2.7
QALD10-MT	de	['davlan_ner', 'mgenre_el', 'mbart_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-davlan_ner-mgenre_el-mbart_mt	f138409e41f64bb0b320e89610d8d6b2QALD10-MT_de-en_gold_file.txt	8ca6fc6e6e154d33be48103da956a2acQALD10-MT_de-davlan_ner-mgenre_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280026	pred (uploaded)	gold (uploaded)	34.42	0.34	0.39	0.63	0.46	0	2022-09-28 14:29:44	1.2.7
QALD10-MT	de	['spacy_ner', 'mag_el', 'libre_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-spacy_ner-mag_el-libre_mt	f138409e41f64bb0b320e89610d8d6b2QALD10-MT_de-en_gold_file.txt	d92714616d7342d7aa71bd64814cf325QALD10-MT_de-spacy_ner-mag_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280027	pred (uploaded)	gold (uploaded)	21.76	0.22	0.35	0.52	0.61	0	2022-09-28 14:29:55	1.2.7
QALD10-MT	de	['spacy_ner', 'mag_el', 'opus_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-spacy_ner-mag_el-opus_mt	f138409e41f64bb0b320e89610d8d6b2QALD10-MT_de-en_gold_file.txt	3e10ff57f53946feab29463381cca71aQALD10-MT_de-spacy_ner-mag_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280028	pred (uploaded)	gold (uploaded)	34.03	0.34	0.4	0.63	0.46	0	2022-09-28 14:30:05	1.2.7
QALD10-MT	de	['spacy_ner', 'mag_el', 'nllb_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-spacy_ner-mag_el-nllb_mt	f138409e41f64bb0b320e89610d8d6b2QALD10-MT_de-en_gold_file.txt	5e24049626b74acebaee684f11ee81b9QALD10-MT_de-spacy_ner-mag_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280029	pred (uploaded)	gold (uploaded)	34.01	0.34	0.4	0.62	0.46	0	2022-09-28 14:30:15	1.2.7
QALD10-MT	de	['spacy_ner', 'mag_el', 'mbart_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-spacy_ner-mag_el-mbart_mt	f138409e41f64bb0b320e89610d8d6b2QALD10-MT_de-en_gold_file.txt	701c2ff062c445d48f8e9952512b9bf6QALD10-MT_de-spacy_ner-mag_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280030	pred (uploaded)	gold (uploaded)	33.81	0.34	0.39	0.63	0.48	0	2022-09-28 14:30:25	1.2.7
QALD10-MT	de	['spacy_ner', 'mgenre_el', 'libre_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-spacy_ner-mgenre_el-libre_mt	f138409e41f64bb0b320e89610d8d6b2QALD10-MT_de-en_gold_file.txt	71f47fc5b28944278c1b930ae7491cc1QALD10-MT_de-spacy_ner-mgenre_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280031	pred (uploaded)	gold (uploaded)	21.46	0.21	0.35	0.51	0.61	0	2022-09-28 14:30:36	1.2.7
QALD10-MT	de	['spacy_ner', 'mgenre_el', 'opus_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-spacy_ner-mgenre_el-opus_mt	f138409e41f64bb0b320e89610d8d6b2QALD10-MT_de-en_gold_file.txt	b22cda4136f94b0b8457fb1701bc2157QALD10-MT_de-spacy_ner-mgenre_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202209280032	pred (uploaded)	gold (uploaded)	34.21	0.34	0.39	0.63	0.46	0	2022-09-28 14:30:45	1.2.7
