Test Name	Language	Components	Gold File	Prediction File	Uploaded Gold File	Uploaded Prediction File	Experiment URI	BertScore F1	BLEURT Score	BLEU	BLEU NLTK	METEOR	chrF++	TER	Error Count	Timestamp	GERBIL version
QALD10-MT	de	['flair_ner', 'mag_el', 'nllb_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-flair_ner-mag_el-nllb_mt	94bdc8517d784fe39970f82f46d4b1e1QALD10-MT_de-en_gold_file.txt	8402fcd538374ee48d291036ccd9cb5aQALD10-MT_de-flair_ner-mag_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210130620	0.9427531753	0.07644562403	32.75	0.33	0.38	0.61	0.49	0	2022-10-13 23:22:48	1.2.7
QALD10-MT	de	['flair_ner', 'mag_el', 'mbart_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-flair_ner-mag_el-mbart_mt	94bdc8517d784fe39970f82f46d4b1e1QALD10-MT_de-en_gold_file.txt	b924853d7e214f40b2ecbe7da54bb1d0QALD10-MT_de-flair_ner-mag_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210130621	0.9418932136	0.03652481842	33.34	0.33	0.39	0.63	0.48	0	2022-10-13 23:22:58	1.2.7
QALD10-MT	de	['flair_ner', 'mgenre_el', 'libre_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-flair_ner-mgenre_el-libre_mt	94bdc8517d784fe39970f82f46d4b1e1QALD10-MT_de-en_gold_file.txt	6491f71f298d4e438081fd1c00942217QALD10-MT_de-flair_ner-mgenre_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210130622	0.9263444144	-0.1861643963	25.57	0.25	0.35	0.56	0.55	0	2022-10-13 23:23:09	1.2.7
QALD10-MT	de	['flair_ner', 'mgenre_el', 'opus_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-flair_ner-mgenre_el-opus_mt	94bdc8517d784fe39970f82f46d4b1e1QALD10-MT_de-en_gold_file.txt	e469ae26f06f47fbbaabde2839eead5aQALD10-MT_de-flair_ner-mgenre_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210130623	0.9453337046	0.1363006235	34.5	0.34	0.4	0.63	0.45	0	2022-10-13 23:23:18	1.2.7
QALD10-MT	de	['flair_ner', 'mgenre_el', 'nllb_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-flair_ner-mgenre_el-nllb_mt	94bdc8517d784fe39970f82f46d4b1e1QALD10-MT_de-en_gold_file.txt	c7a8c1b9218c4ede8a7e9ed3da4ce87eQALD10-MT_de-flair_ner-mgenre_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210130624	0.9433704377	0.1141703427	32.4	0.32	0.38	0.61	0.48	0	2022-10-13 23:23:29	1.2.7
QALD10-MT	de	['flair_ner', 'mgenre_el', 'mbart_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-flair_ner-mgenre_el-mbart_mt	94bdc8517d784fe39970f82f46d4b1e1QALD10-MT_de-en_gold_file.txt	73d77d95d7bd4cfba2322a94582c30cbQALD10-MT_de-flair_ner-mgenre_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210130625	0.9438995264	0.09361930274	33.98	0.34	0.39	0.63	0.47	0	2022-10-13 23:23:38	1.2.7
QALD10-MT	de	['davlan_ner', 'mag_el', 'libre_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-davlan_ner-mag_el-libre_mt	94bdc8517d784fe39970f82f46d4b1e1QALD10-MT_de-en_gold_file.txt	632462c509bc4a6bb1f5c90da9b8d7a2QALD10-MT_de-davlan_ner-mag_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210130626	0.9240250438	-0.2211370212	25.44	0.25	0.35	0.56	0.55	0	2022-10-13 23:23:49	1.2.7
QALD10-MT	de	['davlan_ner', 'mag_el', 'opus_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-davlan_ner-mag_el-opus_mt	94bdc8517d784fe39970f82f46d4b1e1QALD10-MT_de-en_gold_file.txt	eb1a5ad12b82442f8d592470f827f7f1QALD10-MT_de-davlan_ner-mag_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210130627	0.9440006521	0.09800624146	34.43	0.34	0.39	0.63	0.46	0	2022-10-13 23:23:59	1.2.7
QALD10-MT	de	['davlan_ner', 'mag_el', 'nllb_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-davlan_ner-mag_el-nllb_mt	94bdc8517d784fe39970f82f46d4b1e1QALD10-MT_de-en_gold_file.txt	e603f414fe2e4d8cbdf29f7a74bcb506QALD10-MT_de-davlan_ner-mag_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210130628	0.9435926275	0.103239674	32.84	0.33	0.38	0.61	0.49	0	2022-10-13 23:24:09	1.2.7
QALD10-MT	de	['davlan_ner', 'mag_el', 'mbart_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-davlan_ner-mag_el-mbart_mt	94bdc8517d784fe39970f82f46d4b1e1QALD10-MT_de-en_gold_file.txt	586929055baf4e02af09809f21a295e4QALD10-MT_de-davlan_ner-mag_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210130629	0.9424665384	0.06117623485	33.99	0.34	0.39	0.63	0.47	0	2022-10-13 23:24:19	1.2.7
QALD10-MT	de	['davlan_ner', 'mgenre_el', 'libre_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-davlan_ner-mgenre_el-libre_mt	94bdc8517d784fe39970f82f46d4b1e1QALD10-MT_de-en_gold_file.txt	3902dc82f42345fc8ef29716ae1841c6QALD10-MT_de-davlan_ner-mgenre_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210130630	0.9268995493	-0.1674752446	25.4	0.25	0.35	0.56	0.55	0	2022-10-13 23:24:29	1.2.7
QALD10-MT	de	['davlan_ner', 'mgenre_el', 'opus_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-davlan_ner-mgenre_el-opus_mt	94bdc8517d784fe39970f82f46d4b1e1QALD10-MT_de-en_gold_file.txt	83615321c8094c1fb85f9a863fe75192QALD10-MT_de-davlan_ner-mgenre_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210130631	0.9462183036	0.14815802	35.07	0.35	0.4	0.64	0.45	0	2022-10-13 23:24:39	1.2.7
