Dataset	System	MicroF1	MacroF1	MicroPrecision	MacroPrecision	MicroRecall	MacroRecall	QALD-F1	Timestamp	ExperimentURI
qald_9_plus_test_dbpedia	NIFWS_Qanary_5(http://porque.cs.upb.de:40123/qanary_5/gerbil)	0.001721355568	0.2345841259	0.001466813348	0.2340739628	0.00208279094	0.2445	0.3869778517	2022-09-28 10:29:58	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209280000
qald_9_plus_train_dbpedia	NIFWS_Qanary_5(http://porque.cs.upb.de:40123/qanary_5/gerbil)	0.01207336893	0.2033790703	0.01196808511	0.2033904052	0.01218052158	0.2228536754	0.3579719899	2022-09-28 10:30:00	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209280001
QALD9PlusTrain-MT_fr-no_ner-no_el-libre_mt	NIFWS_QAnswer(http://porque.cs.upb.de:40123/qanswer/gerbil)	0.0424828288	0.2208279661	0.04007871748	0.2146739839	0.04519376488	0.2967117167	0.3226968003	2022-09-28 21:57:20	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209280003
QALD9PlusTrain-MT_fr-no_ner-no_el-libre_mt	NIFWS_QAnswer(http://porque.cs.upb.de:40123/qanswer/gerbil)	0.04373078237	0.2159922266	0.04250319285	0.210243482	0.04503139208	0.2870592071	0.3271021929	2022-09-28 22:15:51	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209280004
QALD9PlusTrain-MT_fr-no_ner-no_el-libre_mt	NIFWS_QAnswer(http://porque.cs.upb.de:40123/qanswer/gerbil)	0.04263959391	0.2229864571	0.0410752796	0.2186887944	0.04432777658	0.2976009176	0.313259735	2022-09-29 00:12:46	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290000
QALD9PlusTrain-MT_fr-no_ner-no_el-libre_mt	NIFWS_Qanary_1(http://porque.cs.upb.de:40123/qanary_1/gerbil)	0.007909369332	0.1677386641	0.008775981524	0.1663686586	0.00719852782	0.1916174935	0.3157223867	2022-09-29 00:46:51	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290001
QALD9PlusTrain-MT_fr-no_ner-no_el-libre_mt	NIFWS_Qanary_2(http://porque.cs.upb.de:40123/qanary_2/gerbil)	2.43E-04	0.1428664074	4.84E-04	0.1428617919	1.62E-04	0.1441441441	0.2513453194	2022-09-29 01:27:58	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290002
QALD9PlusTrain-MT_fr-no_ner-no_el-libre_mt	NIFWS_Qanary_3(http://porque.cs.upb.de:40123/qanary_3/gerbil)	0.01046196508	0.171959021	0.01252074219	0.1692645792	0.008984628708	0.1991556439	0.3258204333	2022-09-29 02:33:08	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290003
QALD9PlusTrain-MT_fr-no_ner-no_el-libre_mt	NIFWS_Qanary_4(http://porque.cs.upb.de:40123/qanary_4/gerbil)	0.01134930643	0.1785157568	0.03379828326	0.1777229791	0.006819657935	0.1903304922	0.3166880658	2022-09-29 02:57:13	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290004
QALD9PlusTrain-MT_fr-no_ner-no_el-libre_mt	NIFWS_Qanary_5(http://porque.cs.upb.de:40123/qanary_5/gerbil)	0.007496297192	0.146452118	0.008489080578	0.1449607178	0.006711409396	0.1697384716	0.2855030106	2022-09-29 03:25:20	http://gerbil-qa.aksw.org/gerbil/experiment?id=202209290005
